updateCount,lastprice,volume,bidsize,bid,ask,asksize
615,26.76,7604,84,26.75,26.76,296
616,26.76,7604,84,26.75,26.76,296
617,26.76,7604,86,26.75,26.76,308
618,26.76,7604,88,26.75,26.76,279
619,26.76,7604,88,26.75,26.76,279
620,26.75,7605,89,26.75,26.76,279
621,26.75,7606,108,26.75,26.76,279
622,26.75,7607,98,26.75,26.76,280
623,26.76,7608,101,26.75,26.76,279
624,26.75,7609,219,26.75,26.76,279
625,26.75,7619,208,26.75,26.76,279
626,26.75,7619,210,26.75,26.76,331
627,26.75,7624,207,26.75,26.76,337
628,26.75,7624,207,26.75,26.76,337
629,26.75,7624,207,26.75,26.76,337
630,26.75,7627,206,26.75,26.76,336
631,26.75,7627,206,26.75,26.76,336
632,26.75,7633,200,26.75,26.76,336
633,26.75,7633,199,26.75,26.76,336
634,26.75,7633,199,26.75,26.76,336
635,26.75,7634,200,26.75,26.76,336
636,26.75,7637,198,26.75,26.76,336
637,26.75,7637,198,26.75,26.76,336
638,26.75,7839,1386,26.74,26.75,78
639,26.75,7839,1386,26.74,26.75,79
640,26.75,7839,1386,26.74,26.75,79
641,26.75,7840,1379,26.74,26.75,86
642,26.75,7840,1380,26.74,26.75,88
643,26.75,7840,1380,26.74,26.75,88
644,26.75,7841,1380,26.74,26.75,87
645,26.75,7842,1380,26.74,26.75,95
646,26.75,7843,1380,26.74,26.75,94
647,26.75,7843,1380,26.74,26.75,94
648,26.75,7843,1380,26.74,26.75,94
649,26.75,7843,1380,26.74,26.75,94
650,26.75,7844,1380,26.74,26.75,96
651,26.75,7849,1380,26.74,26.75,93
652,26.75,7851,1380,26.74,26.75,91
653,26.74,7883,1348,26.74,26.75,91
654,26.75,7897,1367,26.74,26.75,77
655,26.75,7897,1367,26.74,26.75,77
656,26.75,7899,1367,26.74,26.75,112
657,26.75,7902,1370,26.74,26.75,109
658,26.74,7905,1367,26.74,26.75,109
659,26.75,7922,1367,26.74,26.75,92
